id,agency_id,route_id,stop_id,start,end,header_text,description_text
lmm:planned_work:16247,MTASBWY,,126,1713069000,1713085200,"In Manhattan, downtown [2] local skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [2] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [2].

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16246,MTASBWY,1,,1712979900,1712998800,"In Manhattan, downtown [1] skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [1] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [1]

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16246,MTASBWY,1,,1713066300,1713085200,"In Manhattan, downtown [1] skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [1] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [1]

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16246,MTASBWY,,124,1712979900,1712998800,"In Manhattan, downtown [1] skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [1] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [1]

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16246,MTASBWY,,124,1713066300,1713085200,"In Manhattan, downtown [1] skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [1] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [1]

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16246,MTASBWY,,125,1712979900,1712998800,"In Manhattan, downtown [1] skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [1] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [1]

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16246,MTASBWY,,125,1713066300,1713085200,"In Manhattan, downtown [1] skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [1] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [1]

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16246,MTASBWY,,126,1712979900,1712998800,"In Manhattan, downtown [1] skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [1] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [1]

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16246,MTASBWY,,126,1713066300,1713085200,"In Manhattan, downtown [1] skips 66 St-Lincoln Center, 59 St-Columbus Circle and 50 St","For service to these stations, take the [1] to Times Sq-42 St and transfer to an uptown [1] or [2] local.

For service from these stations, take the [1] or [2] to 72 St and transfer to a downtown [1]

Note: Downtown platform at 50 St is temporarily closed.

What's happening?
Station maintenance"
lmm:planned_work:16218,MTASBWY,SI,,1711944000,1712375940,At Annadale [SIR] Station - The St. George-bound staircase on Annadale Rd will be closed,"For service to St George, please use the Belfield Avenue entrance instead.

What's happening?
Scheduled maintenance"
lmm:planned_work:16218,MTASBWY,,S17,1711944000,1712375940,At Annadale [SIR] Station - The St. George-bound staircase on Annadale Rd will be closed,"For service to St George, please use the Belfield Avenue entrance instead.

What's happening?
Scheduled maintenance"
lmm:planned_work:16204,MTASBWY,SI,,1712399400,1712442600,St George-bound [SIR] trains depart 7 minutes later than regularly scheduled,"What's happening?
Scheduled maintenance"
lmm:planned_work:16204,MTASBWY,SI,,1712485800,1712529000,St George-bound [SIR] trains depart 7 minutes later than regularly scheduled,"What's happening?
Scheduled maintenance"
lmm:planned_work:16203,MTASBWY,SI,,1712235600,1712257200,[SIR] runs on an adjusted schedule in both directions,"Tottenville-bound trains depart 2 minutes later than regularly scheduled.
St George-bound trains depart 5 minutes later than regularly scheduled.
What's happening?
Scheduled maintenance"
lmm:planned_work:16202,MTASBWY,SI,,1712399400,1712442600,All [SIR] trains from Stapleton to Jefferson Av board at the St George-bound platform,"Boarding change includes Stapleton, Clifton, Grasmere, Old Town, Dongan Hills and Jefferson Av stations.
What's happening?
Scheduled maintenance"
lmm:planned_work:16202,MTASBWY,SI,,1712485800,1712529000,All [SIR] trains from Stapleton to Jefferson Av board at the St George-bound platform,"Boarding change includes Stapleton, Clifton, Grasmere, Old Town, Dongan Hills and Jefferson Av stations.
What's happening?
Scheduled maintenance"
